login:password:userID:groupID:description:homeDir:shell
novák.benedek:x:1001:1011:Novák Benedek:/home/novák.benedek/:/bin/bash
pásztor.arnold:x:1002:1002:Pásztor Arnold:/home/pásztor.arnold/:/bin/bash
fazekas.gergely:x:1003:1015:Fazekas Gergely:/home/fazekas.gergely/:/bin/bash
lukács.áron:x:1004:1014:Lukács Áron:/home/lukács.áron/:/bin/bash
farkas.attila:x:1005:1014:Farkas Attila:/home/farkas.attila/:/bin/bash
balogh.bence:x:1006:1011:Balogh Bence:/home/balogh.bence/:/bin/bash
nemes.dávid:x:1007:1008:Nemes Dávid:/home/nemes.dávid/:/bin/bash
bács.róbert:x:1008:1008:Bács Róbert:/home/bács.róbert/:/bin/bash
borbély.dominik:x:1009:1005:Borbély Dominik:/home/borbély.dominik/:/bin/bash
márton.norbert:x:1010:1013:Márton Norbert:/home/márton.norbert/:/bin/bash
fazekas.szabolcs:x:1011:1007:Fazekas Szabolcs:/home/fazekas.szabolcs/:/bin/bash
pintér.mihály:x:1012:1016:Pintér Mihály:/home/pintér.mihály/:/bin/bash
kelemen.márton:x:1013:1015:Kelemen Márton:/home/kelemen.márton/:/bin/bash
bodnár.béla:x:1014:1016:Bodnár Béla:/home/bodnár.béla/:/bin/bash
lakatos.bendegúz:x:1015:1020:Lakatos Bendegúz:/home/lakatos.bendegúz/:/bin/bash
váradi.donát:x:1016:1010:Váradi Donát:/home/váradi.donát/:/bin/bash
vászoly.ferenc:x:1017:1007:Vászoly Ferenc:/home/vászoly.ferenc/:/bin/bash
bács.márkó:x:1018:1005:Bács Márkó:/home/bács.márkó/:/bin/bash
szekeres.balázs:x:1019:1013:Szekeres Balázs:/home/szekeres.balázs/:/bin/bash
surány.botond:x:1020:1003:Surány Botond:/home/surány.botond/:/bin/bash
barna.mercédesz:x:1021:1007:Barna Mercédesz:/home/barna.mercédesz/:/bin/bash
halász.anikó:x:1022:1009:Halász Anikó:/home/halász.anikó/:/bin/bash
pál.virág:x:1023:1014:Pál Virág:/home/pál.virág/:/bin/bash
balogh.zita:x:1024:1018:Balogh Zita:/home/balogh.zita/:/bin/bash
pap.sára:x:1025:1004:Pap Sára:/home/pap.sára/:/bin/bash
orsós.natália:x:1026:1006:Orsós Natália:/home/orsós.natália/:/bin/bash
bakos.blanka:x:1027:1010:Bakos Blanka:/home/bakos.blanka/:/bin/bash
virág.barbara:x:1028:1006:Virág Barbara:/home/virág.barbara/:/bin/bash
gulyás.bernadett:x:1029:1007:Gulyás Bernadett:/home/gulyás.bernadett/:/bin/bash
kocsis.júlia:x:1030:1018:Kocsis Júlia:/home/kocsis.júlia/:/bin/bash
vincze.tünde:x:1031:1007:Vincze Tünde:/home/vincze.tünde/:/bin/bash
illés.liliána:x:1032:1013:Illés Liliána:/home/illés.liliána/:/bin/bash
halász.kata:x:1033:1001:Halász Kata:/home/halász.kata/:/bin/bash
veres.hanna:x:1034:1020:Veres Hanna:/home/veres.hanna/:/bin/bash
farkas.dorka:x:1035:1013:Farkas Dorka:/home/farkas.dorka/:/bin/bash
nemes.mercédesz:x:1036:1020:Nemes Mercédesz:/home/nemes.mercédesz/:/bin/bash
gál.júlia:x:1037:1002:Gál Júlia:/home/gál.júlia/:/bin/bash
major.szilvia:x:1038:1007:Major Szilvia:/home/major.szilvia/:/bin/bash
boros.cintia:x:1039:1007:Boros Cintia:/home/boros.cintia/:/bin/bash
bodnár.martina:x:1040:1011:Bodnár Martina:/home/bodnár.martina/:/bin/bash
tóth.gréta:x:1041:1007:Tóth Gréta:/home/tóth.gréta/:/bin/bash
szőke.nikolett:x:1042:1001:Szőke Nikolett:/home/szőke.nikolett/:/bin/bash
surány.panna:x:1043:1012:Surány Panna:/home/surány.panna/:/bin/bash
máté.dorka:x:1044:1015:Máté Dorka:/home/máté.dorka/:/bin/bash
katona.veronika:x:1045:1020:Katona Veronika:/home/katona.veronika/:/bin/bash
pál.nóra:x:1046:1003:Pál Nóra:/home/pál.nóra/:/bin/bash
juhász.noémi:x:1047:1015:Juhász Noémi:/home/juhász.noémi/:/bin/bash
kelemen.petra:x:1048:1014:Kelemen Petra:/home/kelemen.petra/:/bin/bash
antal.nikoletta:x:1049:1013:Antal Nikoletta:/home/antal.nikoletta/:/bin/bash
budai.kíra:x:1050:1006:Budai Kíra:/home/budai.kíra/:/bin/bash
